Word,Polar
同仇敌忾,1
加负荷於,-1
天理,1
万全,1
宽仁,1
爱好和平,1
凄楚,-1
肥肉,-1
专擅,-1
无稽之谈,-1
笑骂,-1
无遮蔽,-1
神采焕发,1
妙绝,1
苴,-1
守财奴,-1
孤寂,-1
擅名,1
可望,-1
踟蹰,-1
微弱的,-1
着名的,1
说客,-1
冬烘,-1
提出论据反对,-1
木讷,-1
奋志,1
淳古,1
活用,1
坡,-1
凄恻,-1
甘心情愿,1
漫漶,-1
不灵敏,-1
充盈,1
嗒丧,-1
固守,1
恶化,-1
洗练,1
大摇大摆,-1
使烦躁,-1
呜咽着说,-1
轻飘,-1
使人厌恶的,-1
污辱,-1
赴任,1
器重,1
死缠,-1
还,1
莫测高深,1
精本,1
淫逸,-1
前呼后拥,-1
套话,-1
玲珑剔透,1
谪,-1
得体的,1
丰裕,1
热流,1
浮华,-1
贪赃,-1
英勇的,1
过量的,-1
吵到,-1
屈才,-1
温雅,1
不凡,1
弊端,-1
光辉,1
浩荡,1
生吞活剥,-1
混吃混喝,-1
低沉,-1
狞,-1
像样子,1
实际可行,1
吵闹,-1
奢望,1
阳奉阴违,-1
笨蛋,-1
闷热,-1
博大,1
养肥,-1
煮豆燃萁,-1
淫贱,-1
扭斗,-1
调拨,-1
不坚固,-1
委琐,-1
养护,1
捞取,-1
骂得很惨,-1
徒然,-1
兴妖作怪,-1
明快生动,1
激活,1
戳脊梁骨,-1
方便,1
仇视,-1
缠扰,-1
诟病,-1
退避,-1
祭扫,1
使成孤儿,-1
无法,-1
嘶哑,-1
反胃,-1
强壮,1
死心,-1
谰言,-1
黠棍,-1
阻遏,-1
陈货,-1
容易受惊的,-1
锦鳞,1
侧重,1
臭名昭著,-1
笨鸟先飞,1
相称的,1
喜人,1
不正常的兴奋,-1
鸡八,-1
奇异,1
辞呈,-1
神通,1
银根紧的,-1
恩遇,1
禁欲,-1
有求必应,1
难人,-1
安全,1
有劲,1
不法,-1
名将,1
万古流芳,1
紧迫,-1
让贤,1
守旧,-1
搭桥,1
明净,1
不纯洁的,-1
誉,1
凶暴,-1
嘉慰,1
罪情,-1
赏鉴,1
故意少给,-1
浅薄,-1
迷途,-1
大方的,1
逋逃,-1
诟,-1
平息,1
发动突然袭击,-1
松快,1
暗箭伤人,-1
拖欠,-1
像话,1
春秋正富,1
繁冗,-1
无裂缝的,1
过瘾,1
春意融融,1
铲除,-1
惶惧,-1
盲人瞎马,-1
我操,-1
不问是非情由,-1
欢庆,1
妙手,1
友善,1
清真,1
吃醋,1
煞气,-1
简陋,-1
差错,-1
谦诚,1
你死我活,-1
明显的,1
有功绩的,1
航向,1
丑事,-1
合法的,1
不合情理,-1
骐骥,1
鉴别,1
朝拜,1
腐朽,-1
以期,1
落市,-1
毁弃,-1
喧哗,-1
魔窟,-1
论著,1
受挫折的,-1
散漫,-1
任其自流,-1
恨铁不成钢,-1
溢目,1
不定的,-1
妥善,1
提挈,1
拒绝..的要求,-1
冷静下来,-1
坑蒙,-1
秾,1
无补于事,-1
亢,-1
孤零零,-1
歌功颂德,-1
冥顽不化,-1
不服从,-1
不得了,-1
明窗净几,1
诋毁,-1
碧血,1
风雨同舟,1
著称,1
引起反感,-1
宠,1
平易,1
下等的,-1
骠勇,1
不满足,-1
冷落,-1
带劲,1
措意,1
劳神,-1
复兴,1
虎口,-1
落荒,-1
想呕吐的,-1
尔虞我诈,-1
阴霾,-1
有条理,1
世界的末日,-1
买通,-1
学而不厌,1
毫发无损,1
婞,-1
了解,1
活着,1
口头通过,1
圣,1
搭救,1
公平正直,1
猴儿急,-1
意外事件,-1
人山人海,1
极神圣,1
婷,1
的确地,1
疵品,-1
锲而不舍,1
善於经营的,1
昏聩,-1
权威性,1
才路,1
沽名钓誉,-1
不大重要,-1
伟业,1
让你死,-1
夷,1
抵御,1
讥讪,-1
易受骗,-1
屌琅当,-1
精于,1
拔擢,1
祷祝,1
缴获,1
中流砥柱,1
到家,1
不足为外人道,-1
顿挫,-1
陈,-1
二心,-1
倾羡,1
胜地,1
挫折,-1
明亮的,1
胜利的,1
恰当地,1
易怒的,-1
叫骂,-1
义方,1
冷漠,-1
草木皆兵,-1
协助,1
胖的,-1
爱挑剔,-1
特异,1
废,-1
苦的,-1
手快,1
不肯越过障碍物,-1
兔死狐悲,-1
确凿,1
红蛋,1
畏葸,-1
可骇,-1
杂草,-1
粗鲁地对待,-1
感到可怜,-1
理性,1
不合理的,-1
遇难船,-1
争气点,-1
低落,-1
心绪沉落,-1
督责,1
诡辩,-1
好逸恶劳,-1
最糟的是,-1
搞不懂,-1
精勤,1
闲闲没事做,-1
体系化,1
缺乏绅士风度,-1
有爱心的,1
苍凉,-1
浮动,-1
发育迟缓,-1
浑浑噩噩,-1
恭贺,1
引以为傲,1
切身,1
畅谈,1
滞呆,-1
令人寒心,-1
跩什麽跩,-1
不值,-1
塞你祖马勒,-1
显耀,1
想不开,-1
拳头,-1
没精打彩,-1
偏向,-1
狭路,-1
命运注定的,-1
自责,-1
万无一失,1
金钥匙,1
大伤,-1
聪明的,1
冷嘲热讽,-1
倥偬,-1
昭彰,1
阴森,-1
蓄谋,-1
公正,1
瞬息万变,-1
绝色,1
扬扬自得,1
决定性,1
闲闲,-1
老练的,1
勤快,1
最理想的,1
好玩,1
病人,-1
有的放矢,1
福如东海,1
清洁的,1
快速,1
淌混水,-1
横事,-1
启示,1
志哀,1
倜傥,1
设伏,-1
反咬,-1
吉祥的,1
优良,1
有思想,1
同谋,-1
占用,-1
恶俗,-1
极可厌的,-1
枯萎,-1
张冠李戴,-1
盛事,1
扩张,-1
结晶,1
不清楚,-1
意乱,-1
心盛,1
罪在不赦,-1
真情,1
廉价,1
被迷住,-1
不顾一切,-1
乐土,1
要职,1
抚育,1
困在,-1
佳趣,1
冲突,-1
虚,-1
白日梦,-1
极愚蠢,-1
贱女人,-1
泰然处之,1
歪斜,-1
沉毅,1
扬名,1
井然有序的,1
酥脆,1
稀珍,1
使缠结,-1
首位,1
砍死,-1
邪,-1
狂爱,1
宣告有罪,-1
凭空,-1
扫兴,-1
恼火,-1
蕃,1
爱护,1
拐子,-1
创造性,1
迎候,1
不符,-1
恋,1
无忧无虑的,1
沉闷,-1
品鉴,1
保密,1
白衣苍狗,-1
死记,-1
便利的,1
超迈,1
超绝,1
赃物,-1
有决心的,1
茂盛,1
明显,1
狂荡,-1
委罪,-1
持平,1
荒诞,-1
精细,1
利己,-1
骞,-1
贬斥,-1
强记,1
耍脾气,-1
取得,-1
酷爱,1
赞成的论点,1
诺言,1
希,1
伸张,1
毒蛇一样,-1
惹人恼怒的事,-1
不就,-1
毅然,1
获准,1
出色的,1
效果,1
感到极度痛苦,-1
穿不得,-1
逃犯,-1
洞察,1
捕捉,-1
怪异风格,-1
遍历,1
现实的,-1
守信,1
使退却,-1
魄散魂飞,-1
灰头灰脸,-1
超越误差,-1
病狂,-1
简雅,1
衷心地,1
贼巢,-1
弥望,1
较量,-1
拥,1
别有情趣,1
使人厌烦,-1
骂出,-1
混战场,-1
卖好,-1
歹,-1
造诣,1
目光短浅,-1
没教养,-1
孤立无援,-1
微言大义,1
保健,1
表观,1
勇敢的,1
坦荡荡,1
祺,1
令人沮丧的,-1
示怒,-1
意图,-1
机敏的,1
抢掠,-1
恚恨,-1
凶猛的,-1
幸运的,1
显然,1
在情理之中,1
无髒污,1
吉时,1
坚硬的,-1
耗损,-1
聋的,-1
分隔,-1
哭幺,-1
交困,-1
抗辩,-1
落马,-1
孺子牛,1
下陷,-1
背悔,-1
毕肖,1
糠,-1
好转,1
胆颤心惊,-1
欢唱,1
尘嚣,-1
感激的,1
背叛,-1
老羞成怒,-1
做作,-1
窗口,1
搞分裂,-1
败诉,-1
破产了的,-1
迍邅,-1
能行,1
繁丽,1
矛盾的,-1
岌岌不可终日,-1
乾旱,-1
膻气,-1
婚生,1
疏忽,-1
涤荡,1
狎亵,-1
不可能之事,-1
稍息,1
正义,1
自危,-1
天经地义,1
减轻,1
谈何容易,-1
丰稔,1
魂牵梦萦,1
洞晓,1
诳话,-1
草野,-1
温和的,1
去你妈的,-1
徒托空言,-1
确有其事,1
狼籍,-1
能懂,1
干你娘老鸡巴,-1
反复告诉,-1
逼近,-1
凶耗,-1
保重,1
辅助的,1
成见,-1
优厚,1
坚持不渝,1
强烈抗议,-1
不能解决,-1
魔掌,-1
卑鄙地,-1
诱骗,-1
失范,-1
鲜丽,1
不成功,-1
倒行逆施,-1
我咧,-1
严装,1
不整齐的,-1
哽咽,-1
慨叹,-1
灭绝人性,-1
愚暗,-1
单调枯燥,-1
大要,1
饶富,1
达,1
从容不迫,1
不美观,-1
动荡的局面,-1
能实行,1
全才,1
周至,1
深入人心,1
哭爸,-1
对得起,-1
冲出,-1
衰萎,-1
怆,-1
无猜,1
浑水摸鱼,-1
乱屁,-1
灰溜溜,-1
虎踞龙蟠,-1
感兴趣,1
上流,1
金碧辉煌,1
称心如愿,1
志愿,1
忠实的,1
奇瑰,1
费精神,-1
暴跌,-1
觉得自己理亏,-1
看风使舵,-1
围殴,-1
辅导,1
搞斗争,-1
尊敬,1
心如刀绞,-1
猛进,1
最新,1
自立,1
救治,1
跌眼镜,-1
价值连城,1
巧扮,1
怆然,-1
使饿死,-1
无瑕,1
对立的,-1
徇私,-1
使平坦,1
花心,-1
存恤,1
高度,1
洁,1
五彩纷呈,1
加深,-1
被动,-1
废寝忘食,1
匀调,1
加重,-1
耳濡,1
上吊,-1
交恶运的,-1
惨变,-1
探望,1
戆直,1
懊悔,-1
叫嚣,-1
指桑骂槐,-1
不健康的,-1
大意的,-1
剑拔弩张,-1
麻麻黑,-1
畅饮,1
拖紧,-1
渎,-1
搞什麽,-1
获胜,1
恶性肿瘤,-1
真率,1
秽土,-1
权门,-1
竭尽全心,1
光临,1
妙不可言,1
腐旧,-1
美味,1
盗劫,-1
好意,1
钻牛角尖儿,-1
吃得开,1
悒郁寡欢,-1
众志成城,1
混浊状态,-1
存有偏见的,-1
不悦,-1
分文不取,1
刁钻古怪,-1
无牵无挂,1
不留神,-1
显要,1
犒赏,1
特等,1
光泽,1
才华,1
过分,-1
仇外,-1
诡辩的,-1
茁壮的,1
失怙,-1
後座力,-1
奉承,-1
心有馀悸,-1
邪僻,-1
蛮,-1
无谓,-1
爱屋及乌,1
要事,1
会心,1
峭劲,1
未指明的,-1
刺耳,-1
听任,-1
毕露,-1
纯美,1
愤世嫉俗,-1
怒,-1
愉快地,1
无懈可击的,1
仇恨,-1
飞翔,1
屹立,1
用沸水烫,-1
驽钝,-1
违章,-1
猛将,1
娉,1
因循守旧,-1
吉祥,1
臭狗,-1
畅抒,1
卑下,-1
巢穴,-1
脱误,-1
各奔前程,-1
数一数二,1
撬动,-1
烧毁,-1
反对..提案,-1
反托拉斯,-1
泥沙俱下,-1
粗鲁的,-1
同心同德,1
苍绿,1
脱口说出,-1
平平淡淡,1
外行,-1
空谈,-1
祝酒,1
侮辱的,-1
最恨,-1
称愿,1
好学,1
无望,-1
挑拨离间,-1
津润,1
阳性,1
疲塌,-1
无人问津,-1
腐蚀的,-1
情急,-1
训诫,-1
奔腾,1
装备完善,1
烦燥的,-1
狗眼看人,-1
断然拒绝,-1
逊位,-1
不协调,-1
我操你妈,-1
冲头,-1
适逢其会,1
赋有,1
喜洋洋,1
牢牢,1
五大三粗,1
谋害,-1
高不成，低不就,-1
晴空,1
翰墨,1
老巢,-1
盯紧,1
兵差,-1
翘尾巴,-1
诚服,1
孬,-1
恶魔的,-1
陷於困境,-1
阴森森,-1
火头上,-1
五谷丰登,1
春潮,1
不卑不亢,1
过失,-1
弄复杂,-1
怀着希望的,1
不文雅,-1
辩论,-1
媚骨,-1
言而无信,-1
不偏不倚的,1
辁,-1
伟人,1
义士,1
突然,-1
夺获,1
骄慢,-1
贬损,-1
松垮垮,-1
量才录用,1
坏,-1
壮,1
手无缚鸡之力,-1
铁打,1
相托,1
屠夫,-1
饿死光,-1
优雅,1
秽迹,-1
伊甸园,1
缺席者,-1
奕,1
挺身,1
倩装,1
兰草,1
庸碌,-1
全始全终,1
锦标,1
半途而废,-1
颖悟,1
不说话的,-1
技法,1
恶人,-1
反常的,-1
细瘦,-1
节能,1
千钧一发,-1
？惶,-1
惊人,-1
芳姿,1
完美无瑕,1
地主,-1
彪形,1
没两下子,-1
委屈,-1
郁葱,1
文饰,1
中选,1
可乐,1
专横,-1
走失动物认领栏,-1
没规矩的,-1
痴愣,-1
长征,1
砍痕,-1
喜剧,1
贩毒,-1
串骗,-1
无可无不可,-1
哝,-1
恸,-1
无毒,1
一门心思,1
活该,-1
做梦,-1
阿Q,-1
烂人,-1
孟浪,-1
家徒壁立,-1
易损坏的,-1
带来福气的,1
举反证,-1
渗透物,-1
可行的,1
主导,1
十拿九稳,1
奖旗,1
割裂,-1
有光,1
清旷,1
逍遥自在,1
有分寸,1
八面圆,-1
邪说,-1
无光,-1
醇的,1
谬错,-1
败局,-1
不咎既往,1
关碍,-1
雄武,1
看风使船,-1
趣味盎然,1
一点颜色看看,-1
浮报,-1
退步,-1
惹毛,-1
妖孽,-1
投入,1
悖谬,-1
险境,-1
道理,1
旗号,-1
已过盛年,-1
迫切,-1
死光光,-1
无资格的,-1
婉转,1
英秀,1
不长进,-1
权诈,-1
败家精,-1
肢解,-1
慷慨的,1
闹性子,-1
娼妓,-1
颛,-1
赖帐,-1
瞎了眼,-1
低效,-1
窘,-1
渴求,1
小有名气,1
上品,1
准,1
钟爱,1
淫词,-1
士气低落,-1
弄错,-1
以商逼政,-1
权威,1
抑制的,-1
锃亮,1
肆意,-1
虚幻,-1
筹商,1
冷笑,-1
晋升,1
唉声叹气,-1
佳,1
不断唠叨,-1
东山再起,-1
使忧郁,-1
松懈,-1
烂车,-1
辅助,1
歹徒,-1
骄矜,-1
文弱,-1
号角,1
肥甘,1
不迫,1
首倡,1
奖掖,1
花插着,-1
美女,1
腻味,-1
振奋人心,1
逼退回,-1
极坏的,-1
胆小,-1
星夜兼程,1
怪,-1
恣意,-1
照理,1
隔绝,-1
令人喜悦,1
广远,1
蛀蚀,-1
肯顺从,1
惓惓,1
敞快,1
痴情,1
屈节辱命,-1
罪犯,-1
内斗,-1
过早,-1
骂街,-1
管你去死,-1
通货膨胀,-1
出头,1
假仁假义,-1
充实,1
词宗,1
冒尖户,1
妩,1
急促地说,-1
起皱,-1
伪善,-1
毒素,-1
记念,1
断掉,-1
凋败,-1
抢走,-1
秋风扫落叶,1
敌对,-1
容忍的,1
靡丽,-1
归还,1
不经,-1
一贫如洗,-1
瑰玮,1
神魂颠倒,1
贫,-1
挤过去,-1
不够格,-1
逆着,-1
批评家,-1
关他屁事,-1
宝座,1
呵叱,-1
搞飞机,-1
名贵,1
逾分,-1
温情,1
价高,-1
作恶多端,-1
开倒车,-1
花天酒地,-1
康强,1
微瑕,-1
浪荡的,-1
流泪,-1
畅谈的,1
使破裂,-1
没能力,-1
爱莫能助,-1
使疲倦的,-1
名士,1
快悦,1
薄,-1
灵验,1
杞人忧天,-1
俊伟,1
济楚,1
羞窘,-1
怯,-1
挚,1
毕命,-1
污浊的,-1
羞恶,-1
有权力的,1
悲切切,-1
恐怖行动,-1
长肥,-1
蓬首垢面,-1
混球,-1
险恶,-1
政客,-1
闭塞,-1
抱恨,-1
动乱,-1
志趣,1
酸刻,-1
琼浆,1
醉醺醺,-1
法西斯党员,-1
赞扬,1
受贿,-1
不耐,-1
鲁,-1
亚,-1
摆弄,-1
扭打,-1
吵别人,-1
利口,1
不完全的,-1
患病,-1
黑话,-1
扶植,1
有危险,-1
父辈,1
怨愤,-1
剌戾,-1
疲软,-1
火烧火燎,-1
平坦的,1
哀鸣,-1
烂摊子,-1
迷茫,-1
纲纪,1
口若悬河,1
使受电击,-1
坎坷不平,-1
新仇旧恨,-1
群魔乱舞,-1
敲打,-1
挤得水泄不通,-1
上策,1
追击,-1
同意,1
硬挤过去,-1
侃,1
回护,-1
仁政,1
不虔诚,-1
批评,-1
空洞,-1
色迷迷,-1
恐怖统治,-1
混血,-1
阻碍,-1
传染性,-1
弃信忘义,-1
顾,1
放狗,-1
思路清晰,1
承受,-1
敌焰,-1
祈盼,1
拉出,-1
没种,-1
怨懑,-1
骇惧,-1
养不起,-1
侠骨,1
诤言,1
瞀,-1
珍珠,1
侠义,1
英名,1
被抑制,-1
清,1
斑斓,1
挣扎,-1
玄乎,-1
何苦来哉,-1
多刺,-1
屈理,-1
狗男女,-1
平凡,-1
兴腾,1
愤然,-1
宏博,1
杂乱无章,-1
叩拜,1
有嘴无心,1
反动,-1
膻,-1
一吐为快,1
剀,1
冷害,-1
安澜,1
唯命是听,1
愤愤然,-1
得饶人处且饶人,-1
哇哩,-1
灾病,-1
毖,1
不知所措,-1
丝毫不差,1
赤裸裸的,-1
文华,1
放低,-1
颓废的,-1
一掷千金,-1
郁郁苍苍,1
米珠薪桂,-1
俊气,1
不信实,-1
元恶,-1
不值得,-1
一厢情愿,-1
淫荡样,-1
易坏的,-1
螳臂当车,-1
厚道,1
浊,-1
豪侠,1
德高望重,1
寒冷,-1
饶有兴趣,1
勤奋的,1
未详细说明,-1
丑丑的,-1
名优,1
地位,1
解惑,1
混充,-1
刚决,1
整死,-1
同乐,1
疏失,-1
馋鬼,-1
难解,-1
合理,1
魁梧,1
紧巴,-1
当真,1
义战,1
低效能,-1
好死不死,-1
那麽没用,-1
乱扯,-1
倒运,-1
执性,-1
发噱,1
神工鬼斧,1
无所事事,-1
近视,-1
举世闻名,1
意在言外,1
匠心独运,1
红包,1
报效,1
得不到,-1
没规矩,-1
不雅观,-1
使污浊,-1
狂奔,-1
有案可稽,1
迂论,-1
感谢的,1
无名,-1
贞洁,1
错综,-1
财礼,1
不宜说出口,-1
穷光蛋,-1
底气,1
安然,1
迫害,-1
为傲,1
说明,1
无把握的事,-1
逼问,-1
毁伤,-1
无语,-1
翠蓝,1
给予,1
荣膺,1
芳邻,1
悔之不及,-1
惧色,-1
不合算,-1
叛变,-1
可敬重,1
长期争斗,-1
酸不溜丢,-1
清晰明了,1
无形的东西,-1
没弄脏,1
心爱,1
向上倾斜,-1
有恒,1
联手,1
精确性,1
迷住,-1
求求,-1
使人反感,-1
卑劣的,-1
增色,1
无恶意,1
同情的,-1
背运,-1
倨,-1
戴,1
得计,-1
窝主,-1
亲睦,1
蠢话,-1
新,1
变阴沈,-1
愤怒,-1
害群之马,-1
闹哄哄,-1
起诉,-1
喜出望外,1
贸贸然,-1
敢,1
无病自灸,-1
夸大,-1
未中,-1
嫌弃,-1
茕茕,-1
死了算了,-1
基,1
喷溅,-1
心灵,1
死鱼,-1
预示..的凶兆,-1
栉风沐雨,1
大军,1
稳妥,1
令人疲倦,-1
不懈怠,1
无口才,-1
沦陷,-1
极可憎的,-1
守候,1
武功,1
自弃,-1
愤世,-1
百无聊赖,-1
变迟钝,-1
后患无穷,-1
悉心,1
典型,1
创建,1
申谢,1
骄子,1
蠢材,-1
私生的,-1
遵纪守法,1
胆气,1
风度翩翩,1
文曲星,1
生变,-1
发展,1
无阻,1
蒙蔽,-1
骎骎,1
糜费,-1
感人,1
精雅,1
坦白的,1
神经紧张,-1
继承,1
纷,-1
整齐划一,1
恐怖症,-1
受害的,-1
鲁莽行为,-1
少惹,-1
扑灭,-1
吃亏,-1
无错误,1
窳惰,-1
连贯,1
科学,1
高深莫测,1
穷,-1
天字第一号,1
有仇,-1
异常兴奋的,-1
欢腾,1
恍惚,-1
难说话,-1
绝对可靠,1
偏废,-1
平定,1
难以取悦,-1
说模棱两可,-1
赏识,1
不值得羡慕,-1
发痴,-1
敏锐的感觉力,1
说反话,-1
猪八戒,-1
娴雅的,1
爽畅,1
厚道的,1
无所谓,-1
破掉,-1
蛮荒,-1
乱杀,-1
斗筲,-1
草寇,-1
持异议,-1
要命,-1
偏宠,1
丧心,-1
居然,-1
缺陷,-1
驰名,1
稳态,1
光滑滑,1
发出尖锐的声音,-1
无深虑的,-1
失误,-1
作奸犯科,-1
随手,1
错字,-1
叵测,-1
可鄙,-1
油水,-1
秘密的,-1
明白了当,1
戏剧性,1
倚靠,-1
高速疾驶,-1
窝气,-1
喜欢吵架的,-1
动武,-1
冷酷,-1
恶根,-1
沦落,-1
自夸,-1
清幽,1
讪讪,-1
壮硕,1
貌合神离,-1
文盲,-1
破裂处,-1
积极,1
完备,1
自私到极点,-1
闲言闲语,-1
致使,-1
绵长,1
邀请,1
宦海,-1
惬怀,1
